"gene_compare","uchar","gene","compare"
"ENSG00000005100 HCC1395/HCC1395BL",0.371518201046743,"ENSG00000005100","HCC1395/HCC1395BL"
"ENSG00000005102 HCC1395/HCC1395BL",1.78784809913474,"ENSG00000005102","HCC1395/HCC1395BL"
"ENSG00000005156 HCC1395/HCC1395BL",0.904422507237562,"ENSG00000005156","HCC1395/HCC1395BL"
"ENSG00000005175 HCC1395/HCC1395BL",1.05813238615883,"ENSG00000005175","HCC1395/HCC1395BL"
"ENSG00000005189 HCC1395/HCC1395BL",0.782305052831747,"ENSG00000005189","HCC1395/HCC1395BL"
"ENSG00000005194 HCC1395/HCC1395BL",0.876984363514902,"ENSG00000005194","HCC1395/HCC1395BL"
"ENSG00000005206 HCC1395/HCC1395BL",0.944769289935561,"ENSG00000005206","HCC1395/HCC1395BL"
"ENSG00000005238 HCC1395/HCC1395BL",1.3218795580355,"ENSG00000005238","HCC1395/HCC1395BL"
"ENSG00000005243 HCC1395/HCC1395BL",7.15425398743554,"ENSG00000005243","HCC1395/HCC1395BL"
"ENSG00000005249 HCC1395/HCC1395BL",7.24187654098013,"ENSG00000005249","HCC1395/HCC1395BL"
"ENSG00000005302 HCC1395/HCC1395BL",1.00894087887516,"ENSG00000005302","HCC1395/HCC1395BL"
"ENSG00000005339 HCC1395/HCC1395BL",1.06525356842515,"ENSG00000005339","HCC1395/HCC1395BL"
"ENSG00000005436 HCC1395/HCC1395BL",2.89210905024714,"ENSG00000005436","HCC1395/HCC1395BL"
"ENSG00000005448 HCC1395/HCC1395BL",1.72121143463225,"ENSG00000005448","HCC1395/HCC1395BL"
"ENSG00000005469 HCC1395/HCC1395BL",0.754414410971947,"ENSG00000005469","HCC1395/HCC1395BL"
"ENSG00000005471 HCC1395/HCC1395BL",7.52244229148452,"ENSG00000005471","HCC1395/HCC1395BL"
"ENSG00000005483 HCC1395/HCC1395BL",1.43313534618328,"ENSG00000005483","HCC1395/HCC1395BL"
"ENSG00000005700 HCC1395/HCC1395BL",0.446236603609822,"ENSG00000005700","HCC1395/HCC1395BL"
"ENSG00000005801 HCC1395/HCC1395BL",1.11272474533326,"ENSG00000005801","HCC1395/HCC1395BL"
"ENSG00000005812 HCC1395/HCC1395BL",0.515066903572617,"ENSG00000005812","HCC1395/HCC1395BL"
