"gene_compare","fc_mean","p_mean","support_n","final","Confidence(%)"
"ENSG00000005483 HCC1395/HCC1395BL",1.70751255363043,0,7.66666666666667,"non-DEG",95.8333333333333
"ENSG00000005700 HCC1395/HCC1395BL",0.627552079171697,0,8,"non-DEG",100
"ENSG00000005801 HCC1395/HCC1395BL",0.410732970964153,0,8,"down-regulate",100
"ENSG00000005812 HCC1395/HCC1395BL",1.03874163590312,2.14744174268762e-06,8,"non-DEG",100
"ENSG00000005882 HCC1395/HCC1395BL",1.77944997947256,1.35101681033544e-259,6.33333333333333,"non-DEG",79.1666666666667
"ENSG00000005884 HCC1395/HCC1395BL",5.43640187593635,0,8,"up-regulate",100
"ENSG00000005889 HCC1395/HCC1395BL",1.04141985693606,4.68137608065668e-35,8,"non-DEG",100
"ENSG00000005893 HCC1395/HCC1395BL",7.65134872858474,0,8,"up-regulate",100
"ENSG00000006007 HCC1395/HCC1395BL",3.38696906848994,0,8,"up-regulate",100
"ENSG00000006015 HCC1395/HCC1395BL",1.47697765668877,5.84061093547152e-264,8,"non-DEG",100
"ENSG00000006025 HCC1395/HCC1395BL",0.856735507292961,1.89470936282606e-133,8,"non-DEG",100
"ENSG00000006047 HCC1395/HCC1395BL",32.4561030719015,0,8,"up-regulate",100
"ENSG00000006062 HCC1395/HCC1395BL",0.593046097629008,1.91771758119564e-284,8,"non-DEG",100
"ENSG00000006118 HCC1395/HCC1395BL",10.6862335632356,0,8,"up-regulate",100
"ENSG00000006125 HCC1395/HCC1395BL",0.756332018104844,0,8,"non-DEG",100
"ENSG00000006194 HCC1395/HCC1395BL",1.49396542213789,2.04336925999688e-301,8,"non-DEG",100
"ENSG00000006210 HCC1395/HCC1395BL",160.233265323537,0,8,"up-regulate",100
"ENSG00000006282 HCC1395/HCC1395BL",1.6392623040012,0,8,"non-DEG",100
"ENSG00000006283 HCC1395/HCC1395BL",12.7000551558112,0,8,"up-regulate",100
"ENSG00000006327 HCC1395/HCC1395BL",88.610944351358,0,8,"up-regulate",100
"ENSG00000006432 HCC1395/HCC1395BL",0.130611887811392,0,8,"down-regulate",100
"ENSG00000006451 HCC1395/HCC1395BL",0.510356382732239,0,5.5,"non-DEG",68.75
"ENSG00000006453 HCC1395/HCC1395BL",0.653762672535211,0,8,"non-DEG",100
"ENSG00000006459 HCC1395/HCC1395BL",11.9967083557997,0,8,"up-regulate",100
"ENSG00000006468 HCC1395/HCC1395BL",1.50066753374782,1.71046119441286e-176,8,"non-DEG",100
"ENSG00000006555 HCC1395/HCC1395BL",1.3386785156951,8.83559349440536e-57,8,"non-DEG",100
"ENSG00000006634 HCC1395/HCC1395BL",0.631793175191236,4.23903147866985e-289,8,"non-DEG",100
"ENSG00000006652 HCC1395/HCC1395BL",3.17907027313683,0,8,"up-regulate",100
"ENSG00000006695 HCC1395/HCC1395BL",0.74039992771719,3.90099877055935e-283,8,"non-DEG",100
"ENSG00000006704 HCC1395/HCC1395BL",5.91100950294302,0,8,"up-regulate",100
"ENSG00000006744 HCC1395/HCC1395BL",1.21883037138165,3.741152541993e-261,8,"non-DEG",100
"ENSG00000006757 HCC1395/HCC1395BL",1.96653896408752,0,4,"up-regulate",50
"ENSG00000006831 HCC1395/HCC1395BL",0.92254431320658,7.45902313626544e-153,8,"non-DEG",100
"ENSG00000006837 HCC1395/HCC1395BL",0.541345511843408,8.50548228294957e-157,5.33333333333333,"non-DEG",66.6666666666667
"ENSG00000007047 HCC1395/HCC1395BL",1.05777446498205,3.62904330684346e-28,8,"non-DEG",100
"ENSG00000007202 HCC1395/HCC1395BL",0.70271747421726,0,8,"non-DEG",100
"ENSG00000007255 HCC1395/HCC1395BL",0.77647496216499,1.00782045117715e-259,8,"non-DEG",100
"ENSG00000007312 HCC1395/HCC1395BL",0.00648910596857873,0,8,"down-regulate",100
"ENSG00000007341 HCC1395/HCC1395BL",1.49880172553717,1.96040872792592e-277,7.66666666666667,"non-DEG",95.8333333333333
"ENSG00000007372 HCC1395/HCC1395BL",16.3299967265956,0,8,"up-regulate",100
"ENSG00000007376 HCC1395/HCC1395BL",1.17729683855917,1.64476486784791e-110,8,"non-DEG",100
"ENSG00000007384 HCC1395/HCC1395BL",45.6340105911594,0,8,"up-regulate",100
"ENSG00000007392 HCC1395/HCC1395BL",1.60430699072189,0,8,"non-DEG",100
"ENSG00000007541 HCC1395/HCC1395BL",1.41144244924512,2.82765337132054e-176,8,"non-DEG",100
"ENSG00000007545 HCC1395/HCC1395BL",2.30033331972956,0,7.75,"up-regulate",96.875
"ENSG00000007923 HCC1395/HCC1395BL",1.01977742844311,2.39635080906277e-21,8,"non-DEG",100
"ENSG00000007944 HCC1395/HCC1395BL",0.438279730857683,0,8,"down-regulate",100
"ENSG00000007968 HCC1395/HCC1395BL",0.671475690138037,2.78134337353857e-309,8,"non-DEG",100
"ENSG00000008018 HCC1395/HCC1395BL",0.879050429270789,2.11964374795549e-292,8,"non-DEG",100
"ENSG00000008056 HCC1395/HCC1395BL",1.86189738032853,8.78258087182755e-70,5,"non-DEG",62.5
"ENSG00000008130 HCC1395/HCC1395BL",1.04982912546055,7.90861902489992e-21,8,"non-DEG",100
"ENSG00000008256 HCC1395/HCC1395BL",1.82847047093536,0,7.66666666666667,"non-DEG",95.8333333333333
"ENSG00000008277 HCC1395/HCC1395BL",0.121693477322894,0,8,"down-regulate",100
"ENSG00000008282 HCC1395/HCC1395BL",1.04380241355554,1.08943977145896e-193,8,"non-DEG",100
"ENSG00000008283 HCC1395/HCC1395BL",8.72409825214684,0,8,"up-regulate",100
"ENSG00000008294 HCC1395/HCC1395BL",1.74450133564585,0,8,"non-DEG",100
"ENSG00000008311 HCC1395/HCC1395BL",0.72993859754443,3.01351933660999e-75,8,"non-DEG",100
"ENSG00000008324 HCC1395/HCC1395BL",0.535618587747376,0,7,"non-DEG",87.5
"ENSG00000008382 HCC1395/HCC1395BL",1.20599200178216,1.34654395732117e-19,8,"non-DEG",100
"ENSG00000008394 HCC1395/HCC1395BL",8.8304204064521,0,8,"up-regulate",100
"ENSG00000008405 HCC1395/HCC1395BL",0.669380995897239,1.39067276460242e-309,8,"non-DEG",100
"ENSG00000008517 HCC1395/HCC1395BL",0.231759160896326,0,8,"down-regulate",100
"ENSG00000008710 HCC1395/HCC1395BL",3.29345119803923,0,8,"up-regulate",100
"ENSG00000008838 HCC1395/HCC1395BL",0.676174798396289,0,8,"non-DEG",100
"ENSG00000008869 HCC1395/HCC1395BL",0.289773914366946,0,8,"down-regulate",100
"ENSG00000009307 HCC1395/HCC1395BL",0.879073349902975,1.38795580839595e-285,8,"non-DEG",100
"ENSG00000009335 HCC1395/HCC1395BL",3.3035095421068,0,8,"up-regulate",100
"ENSG00000009765 HCC1395/HCC1395BL",0.279022458878526,1.17096462453084e-214,7,"down-regulate",87.5
"ENSG00000009780 HCC1395/HCC1395BL",1.62423071526338,3.26949156234957e-277,8,"non-DEG",100
"ENSG00000009830 HCC1395/HCC1395BL",2.22224109333549,0,8,"up-regulate",100
"ENSG00000009954 HCC1395/HCC1395BL",0.92589394344962,1.65220255455717e-91,8,"non-DEG",100
"ENSG00000010017 HCC1395/HCC1395BL",1.92275766768352,0,6,"non-DEG",75
"ENSG00000010030 HCC1395/HCC1395BL",0.40804823709916,2.43379004822502e-209,6.66666666666667,"down-regulate",83.3333333333333
"ENSG00000010072 HCC1395/HCC1395BL",1.47202710745838,3.70998311122758e-309,8,"non-DEG",100
