Sample	5_3_bias	reads_aligned_overlapping_exon	reads_aligned_genes	reads_aligned_exonic	total_alignments	reads_aligned_intronic	not_aligned	bam_file	non_unique_alignments	reads_aligned	reads_aligned_intergenic	ambiguous_alignments
SEQ_PolyA_HCC1395_6	1.26	4071121.0	78810928.0	78810928.0	105417026.0	12676266.0	561570.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/SEQ_PolyA_HCC1395_6.Aligned.sortedByCoord.out.bam	7609798.0	50232181.0	1871848.0	4427156.0
SEQ_RiboZero_HCC1395BL_1	0.99	8433777.0	38220680.0	38220680.0	140620954.0	71303622.0	1200288.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/SEQ_RiboZero_HCC1395BL_1.Aligned.sortedByCoord.out.bam	21872410.0	61965249.0	5808374.0	3333590.0
SEQ_RiboZero_HCC1395BL_2	0.99	9493381.0	44177170.0	44177170.0	162873492.0	79415706.0	1970156.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/SEQ_RiboZero_HCC1395BL_2.Aligned.sortedByCoord.out.bam	28709922.0	70413557.0	6586884.0	3888056.0
SEQ_RiboZero_HCC1395BL_3	0.99	8647403.0	40098832.0	40098832.0	144998828.0	74409968.0	1378558.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/SEQ_RiboZero_HCC1395BL_3.Aligned.sortedByCoord.out.bam	20761862.0	64740120.0	6130698.0	3508156.0
SEQ_RiboZero_HCC1395BL_4	1.02	9293594.0	42703392.0	42703392.0	154307062.0	78834952.0	1826578.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/SEQ_RiboZero_HCC1395BL_4.Aligned.sortedByCoord.out.bam	22614014.0	68526288.0	6407986.0	3654610.0
SEQ_RiboZero_HCC1395BL_5	0.99	9225113.0	42436466.0	42436466.0	160740542.0	80275180.0	1214370.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/SEQ_RiboZero_HCC1395BL_5.Aligned.sortedByCoord.out.bam	27684148.0	69713603.0	6555744.0	3694584.0
SEQ_RiboZero_HCC1395BL_6	0.98	9292809.0	42307636.0	42307636.0	158952504.0	80066740.0	1217122.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/SEQ_RiboZero_HCC1395BL_6.Aligned.sortedByCoord.out.bam	26097658.0	69679400.0	6542094.0	3842324.0
SEQ_RiboZero_HCC1395_1	0.96	10233206.0	48287166.0	48287166.0	160703212.0	65879554.0	1543156.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/SEQ_RiboZero_HCC1395_1.Aligned.sortedByCoord.out.bam	32344744.0	67699746.0	4698284.0	9431392.0
SEQ_RiboZero_HCC1395_2	0.92	9774794.0	45672172.0	45672172.0	156912182.0	63270348.0	983740.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/SEQ_RiboZero_HCC1395_2.Aligned.sortedByCoord.out.bam	34584464.0	64840131.0	4506206.0	8818540.0
SEQ_RiboZero_HCC1395_3	1.0	8992569.0	42554750.0	42554750.0	142722440.0	57172620.0	1328840.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/SEQ_RiboZero_HCC1395_3.Aligned.sortedByCoord.out.bam	30554512.0	59354078.0	4113364.0	8273418.0
SEQ_RiboZero_HCC1395_4	0.94	10780976.0	50392136.0	50392136.0	168930114.0	69501402.0	842560.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/SEQ_RiboZero_HCC1395_4.Aligned.sortedByCoord.out.bam	34286180.0	71120514.0	4909906.0	9776792.0
SEQ_RiboZero_HCC1395_5	0.96	9524343.0	44032316.0	44032316.0	153332438.0	60314324.0	1062272.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/SEQ_RiboZero_HCC1395_5.Aligned.sortedByCoord.out.bam	36082872.0	62297627.0	4380712.0	8465464.0
SEQ_RiboZero_HCC1395_6	0.93	9573539.0	45182092.0	45182092.0	154211786.0	61841396.0	727428.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/SEQ_RiboZero_HCC1395_6.Aligned.sortedByCoord.out.bam	33643942.0	64130145.0	4529664.0	8956038.0
