Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
MGI_RiboZero_HCC1395BL_1_R1	MGI_RiboZero_HCC1395BL_1_R1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	38143997.0	5.7 Gbp	0.0	31-150	47.0	59.2867804412736	149.89400471062328	150	pass	pass		pass	fail	warn	pass	warn	warn	warn	pass
MGI_RiboZero_HCC1395BL_1_R2	MGI_RiboZero_HCC1395BL_1_R2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	38143997.0	5.7 Gbp	0.0	31-150	48.0	55.638075525296514	149.89400471062328	150	pass	pass		pass	warn	warn	pass	warn	warn	warn	pass
MGI_RiboZero_HCC1395BL_2_R1	MGI_RiboZero_HCC1395BL_2_R1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	38057482.0	5.7 Gbp	0.0	31-150	46.0	70.7591649633225	149.89533301231018	150	pass	pass		pass	fail	warn	pass	warn	pass	warn	pass
MGI_RiboZero_HCC1395BL_2_R2	MGI_RiboZero_HCC1395BL_2_R2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	38057482.0	5.7 Gbp	0.0	31-150	47.0	67.26243755739928	149.89533301231018	150	pass	pass		pass	warn	warn	pass	warn	warn	warn	pass
MGI_RiboZero_HCC1395BL_3_R1	MGI_RiboZero_HCC1395BL_3_R1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	37931656.0	5.6 Gbp	0.0	31-150	47.0	61.68000172676164	149.89471358698393	150	pass	pass		pass	fail	warn	pass	warn	warn	pass	pass
MGI_RiboZero_HCC1395BL_3_R2	MGI_RiboZero_HCC1395BL_3_R2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	37931656.0	5.6 Gbp	0.0	31-150	48.0	57.919676024214816	149.89471358698393	150	pass	pass		pass	warn	warn	pass	warn	warn	warn	pass
MGI_RiboZero_HCC1395_1_R1	MGI_RiboZero_HCC1395_1_R1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	38145139.0	5.7 Gbp	0.0	31-150	48.0	56.71428143966564	149.88554489210276	150	pass	pass		pass	fail	warn	pass	warn	warn	warn	pass
MGI_RiboZero_HCC1395_1_R2	MGI_RiboZero_HCC1395_1_R2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	38145139.0	5.7 Gbp	0.0	31-150	49.0	52.74408106145194	149.88554489210276	150	pass	pass		pass	warn	pass	pass	warn	warn	warn	pass
MGI_RiboZero_HCC1395_2_R1	MGI_RiboZero_HCC1395_2_R1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	37957372.0	5.6 Gbp	0.0	31-150	48.0	58.17852454170891	149.89065889493088	150	pass	pass		pass	fail	warn	pass	warn	warn	warn	pass
MGI_RiboZero_HCC1395_2_R2	MGI_RiboZero_HCC1395_2_R2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	37957372.0	5.6 Gbp	0.0	31-150	49.0	52.84808508693487	149.89065889493088	150	pass	pass		pass	warn	pass	pass	warn	warn	warn	pass
MGI_RiboZero_HCC1395_3_R1	MGI_RiboZero_HCC1395_3_R1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	38292844.0	5.7 Gbp	0.0	31-150	48.0	58.711049313959606	149.8910598283063	150	pass	pass		pass	fail	warn	pass	warn	warn	warn	pass
MGI_RiboZero_HCC1395_3_R2	MGI_RiboZero_HCC1395_3_R2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	38292844.0	5.7 Gbp	0.0	31-150	49.0	53.80021163453578	149.8910598283063	150	pass	pass		pass	warn	pass	pass	warn	warn	warn	pass
NVG_PolyA_HCC1395BL_1_R1	NVG_PolyA_HCC1395BL_1_R1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	35286744.0	5.2 Gbp	0.0	15-150	49.0	43.09858055710898	149.063857152703	150	pass	pass	warn	pass	fail	pass	pass	warn	fail	pass	pass
NVG_PolyA_HCC1395BL_1_R2	NVG_PolyA_HCC1395BL_1_R2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	35286744.0	5.2 Gbp	0.0	15-150	49.0	43.46288172687828	149.06742157904964	150	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
NVG_PolyA_HCC1395BL_2_R1	NVG_PolyA_HCC1395BL_2_R1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	33261580.0	4.9 Gbp	0.0	15-150	49.0	44.52788624604738	149.01644140176143	150	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
NVG_PolyA_HCC1395BL_2_R2	NVG_PolyA_HCC1395BL_2_R2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	33261580.0	4.9 Gbp	0.0	15-150	49.0	45.05569476493168	149.02023785400453	150	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
NVG_PolyA_HCC1395BL_3_R1	NVG_PolyA_HCC1395BL_3_R1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	36652649.0	5.4 Gbp	0.0	15-150	49.0	41.44680386705039	148.95237465646753	150	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
NVG_PolyA_HCC1395BL_3_R2	NVG_PolyA_HCC1395BL_3_R2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	36652649.0	5.4 Gbp	0.0	15-150	49.0	42.18598360439209	148.95606901427507	150	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
NVG_PolyA_HCC1395_1_R1	NVG_PolyA_HCC1395_1_R1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	35322414.0	5.2 Gbp	0.0	15-150	50.0	42.45014862112926	149.18118376620578	150	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
NVG_PolyA_HCC1395_1_R2	NVG_PolyA_HCC1395_1_R2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	35322414.0	5.2 Gbp	0.0	15-150	50.0	43.86660048728632	149.18352686767105	150	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
NVG_PolyA_HCC1395_2_R1	NVG_PolyA_HCC1395_2_R1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	33863991.0	5 Gbp	0.0	15-150	50.0	42.91260850434615	149.2361538248696	150	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
NVG_PolyA_HCC1395_2_R2	NVG_PolyA_HCC1395_2_R2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	33863991.0	5 Gbp	0.0	15-150	50.0	44.20318564643338	149.23899436424963	150	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
NVG_PolyA_HCC1395_3_R1	NVG_PolyA_HCC1395_3_R1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	33714221.0	5 Gbp	0.0	15-150	50.0	43.997389134739464	148.77688613953146	150	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
NVG_PolyA_HCC1395_3_R2	NVG_PolyA_HCC1395_3_R2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	33714221.0	5 Gbp	0.0	15-150	50.0	44.54375164393028	148.78010347621557	150	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
SEQ_PolyA_HCC1395BL_1_R1	SEQ_PolyA_HCC1395BL_1_R1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	48022151.0	6.7 Gbp	0.0	31-150	47.0	35.228764761871645	140.7923107400999	150	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
SEQ_PolyA_HCC1395BL_1_R2	SEQ_PolyA_HCC1395BL_1_R2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	48022151.0	6.7 Gbp	0.0	31-150	47.0	41.48378714911101	140.7923107400999	150	pass	pass	warn	pass	warn	pass	pass	warn	fail	pass	pass
SEQ_PolyA_HCC1395BL_2_R1	SEQ_PolyA_HCC1395BL_2_R1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	45438184.0	6.4 Gbp	0.0	31-150	47.0	35.58448378119338	142.0223095623716	150	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
SEQ_PolyA_HCC1395BL_2_R2	SEQ_PolyA_HCC1395BL_2_R2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	45438184.0	6.4 Gbp	0.0	31-150	46.0	41.79495797947264	142.0223095623716	150	pass	pass	warn	pass	warn	pass	pass	warn	fail	pass	pass
SEQ_PolyA_HCC1395BL_3_R1	SEQ_PolyA_HCC1395BL_3_R1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	58597255.0	8.4 Gbp	0.0	31-150	46.0	32.69074452123576	143.75763083100054	150	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
SEQ_PolyA_HCC1395BL_3_R2	SEQ_PolyA_HCC1395BL_3_R2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	58597255.0	8.4 Gbp	0.0	31-150	46.0	39.01872713518869	143.75763083100054	150	pass	pass	warn	pass	warn	pass	pass	warn	fail	pass	pass
SEQ_PolyA_HCC1395BL_4_R1	SEQ_PolyA_HCC1395BL_4_R1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	52521780.0	7.4 Gbp	0.0	31-150	46.0	34.9047181901669	142.70130364964783	150	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
SEQ_PolyA_HCC1395BL_4_R2	SEQ_PolyA_HCC1395BL_4_R2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	52521780.0	7.4 Gbp	0.0	31-150	46.0	39.83944966105274	142.70130364964783	150	pass	pass	warn	pass	warn	pass	pass	warn	fail	pass	pass
SEQ_PolyA_HCC1395BL_5_R1	SEQ_PolyA_HCC1395BL_5_R1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	51886241.0	7.4 Gbp	0.0	31-150	46.0	34.83259630803292	142.75302122965508	150	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
SEQ_PolyA_HCC1395BL_5_R2	SEQ_PolyA_HCC1395BL_5_R2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	51886241.0	7.4 Gbp	0.0	31-150	46.0	40.15789511609267	142.75302122965508	150	pass	pass	warn	pass	warn	pass	pass	warn	fail	pass	pass
SEQ_PolyA_HCC1395BL_6_R1	SEQ_PolyA_HCC1395BL_6_R1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	49736272.0	7.1 Gbp	0.0	31-150	46.0	35.818459172378624	143.74292876233264	150	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
SEQ_PolyA_HCC1395BL_6_R2	SEQ_PolyA_HCC1395BL_6_R2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	49736272.0	7.1 Gbp	0.0	31-150	46.0	40.598609349194206	143.74292876233264	150	pass	pass	warn	pass	warn	pass	pass	warn	fail	pass	pass
SEQ_PolyA_HCC1395_1_R1	SEQ_PolyA_HCC1395_1_R1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	45910168.0	6.5 Gbp	0.0	31-150	47.0	35.6053187612677	143.36324532726607	150	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
SEQ_PolyA_HCC1395_1_R2	SEQ_PolyA_HCC1395_1_R2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	45910168.0	6.5 Gbp	0.0	31-150	47.0	40.06454419893303	143.36324532726607	150	pass	pass	warn	pass	warn	pass	pass	warn	fail	pass	pass
SEQ_PolyA_HCC1395_2_R1	SEQ_PolyA_HCC1395_2_R1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	39708941.0	5.7 Gbp	0.0	31-150	47.0	37.20178007801393	144.68004759935553	150	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
SEQ_PolyA_HCC1395_2_R2	SEQ_PolyA_HCC1395_2_R2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	39708941.0	5.7 Gbp	0.0	31-150	47.0	41.83410436311387	144.68004759935553	150	pass	pass	warn	pass	warn	pass	pass	warn	fail	pass	pass
SEQ_PolyA_HCC1395_3_R1	SEQ_PolyA_HCC1395_3_R1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	44027453.0	6.2 Gbp	0.0	31-150	47.0	35.62357716105619	143.0716254242552	150	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
SEQ_PolyA_HCC1395_3_R2	SEQ_PolyA_HCC1395_3_R2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	44027453.0	6.2 Gbp	0.0	31-150	47.0	40.68120107330238	143.0716254242552	150	pass	pass	warn	pass	warn	pass	pass	warn	fail	pass	pass
SEQ_PolyA_HCC1395_4_R1	SEQ_PolyA_HCC1395_4_R1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	49184323.0	7 Gbp	0.0	31-150	47.0	33.37372214692256	143.52107017921136	150	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
SEQ_PolyA_HCC1395_4_R2	SEQ_PolyA_HCC1395_4_R2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	49184323.0	7 Gbp	0.0	31-150	47.0	37.988783170988306	143.52107017921136	150	pass	pass	warn	pass	warn	pass	pass	warn	fail	pass	pass
SEQ_PolyA_HCC1395_5_R1	SEQ_PolyA_HCC1395_5_R1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	50927396.0	7.2 Gbp	0.0	31-150	47.0	33.82239006287471	143.04789327928725	150	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
SEQ_PolyA_HCC1395_5_R2	SEQ_PolyA_HCC1395_5_R2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	50927396.0	7.2 Gbp	0.0	31-150	47.0	38.21185878792659	143.04789327928725	150	pass	pass	warn	pass	warn	pass	pass	warn	fail	pass	pass
SEQ_PolyA_HCC1395_6_R1	SEQ_PolyA_HCC1395_6_R1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	50512966.0	7.2 Gbp	0.0	31-150	47.0	34.21886231709741	144.07513744094933	150	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
SEQ_PolyA_HCC1395_6_R2	SEQ_PolyA_HCC1395_6_R2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	50512966.0	7.2 Gbp	0.0	31-150	47.0	38.299251941745	144.07513744094933	150	pass	pass	warn	pass	warn	pass	pass	warn	fail	pass	pass
SEQ_RiboZero_HCC1395BL_1_R1	SEQ_RiboZero_HCC1395BL_1_R1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	62565393.0	8.7 Gbp	0.0	31-150	44.0	55.2330694092528	139.63069457583364	147	pass	pass	pass	pass	fail	warn	pass	warn	warn	warn	pass
SEQ_RiboZero_HCC1395BL_1_R2	SEQ_RiboZero_HCC1395BL_1_R2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	62565393.0	8.7 Gbp	0.0	31-150	44.0	65.8315694375157	139.63069457583364	147	pass	pass	fail	pass	fail	warn	warn	warn	warn	warn	pass
SEQ_RiboZero_HCC1395BL_2_R1	SEQ_RiboZero_HCC1395BL_2_R1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	71398635.0	9.9 Gbp	0.0	31-150	44.0	52.878031998147534	138.21264451344203	147	pass	pass	pass	pass	fail	fail	pass	warn	warn	warn	pass
SEQ_RiboZero_HCC1395BL_2_R2	SEQ_RiboZero_HCC1395BL_2_R2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	71398635.0	9.9 Gbp	0.0	31-150	44.0	63.12566619318463	138.21264451344203	147	pass	pass	fail	pass	fail	warn	warn	warn	warn	pass	pass
SEQ_RiboZero_HCC1395BL_3_R1	SEQ_RiboZero_HCC1395BL_3_R1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	65429399.0	9.1 Gbp	0.0	31-150	43.0	53.544492718972336	138.5556462470334	147	pass	pass	warn	pass	fail	warn	pass	warn	warn	warn	pass
SEQ_RiboZero_HCC1395BL_3_R2	SEQ_RiboZero_HCC1395BL_3_R2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	65429399.0	9.1 Gbp	0.0	31-150	43.0	65.24805055453066	138.5556462470334	147	pass	pass	fail	pass	fail	warn	warn	warn	warn	pass	pass
SEQ_RiboZero_HCC1395BL_4_R1	SEQ_RiboZero_HCC1395BL_4_R1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	69439577.0	9.7 Gbp	0.0	31-150	43.0	53.43345630473023	139.94692827693925	147	pass	pass	pass	pass	fail	warn	pass	warn	warn	warn	pass
SEQ_RiboZero_HCC1395BL_4_R2	SEQ_RiboZero_HCC1395BL_4_R2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	69439577.0	9.7 Gbp	0.0	31-150	43.0	64.13953017979232	139.94692827693925	147	pass	pass	fail	pass	fail	warn	warn	warn	warn	pass	pass
SEQ_RiboZero_HCC1395BL_5_R1	SEQ_RiboZero_HCC1395BL_5_R1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	70320788.0	9.7 Gbp	0.0	31-150	43.0	53.72838497206843	138.0841174732001	147	pass	pass	pass	pass	fail	warn	pass	warn	warn	warn	pass
SEQ_RiboZero_HCC1395BL_5_R2	SEQ_RiboZero_HCC1395BL_5_R2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	70320788.0	9.7 Gbp	0.0	31-150	43.0	64.47715325798436	138.0841174732001	147	pass	pass	fail	pass	fail	fail	warn	warn	warn	pass	pass
SEQ_RiboZero_HCC1395BL_6_R1	SEQ_RiboZero_HCC1395BL_6_R1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	70287961.0	9.7 Gbp	0.0	31-150	43.0	54.27203961608033	138.21224142495754	147	pass	pass	pass	pass	fail	warn	pass	warn	warn	warn	pass
SEQ_RiboZero_HCC1395BL_6_R2	SEQ_RiboZero_HCC1395BL_6_R2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	70287961.0	9.7 Gbp	0.0	31-150	43.0	65.07700419103908	138.21224142495754	147	pass	pass	fail	pass	fail	fail	warn	warn	warn	pass	pass
SEQ_RiboZero_HCC1395_1_R1	SEQ_RiboZero_HCC1395_1_R1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	68471324.0	9.5 Gbp	0.0	31-150	46.0	49.19483688211048	139.01990872850655	147	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
SEQ_RiboZero_HCC1395_1_R2	SEQ_RiboZero_HCC1395_1_R2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	68471324.0	9.5 Gbp	0.0	31-150	46.0	57.95289830626699	139.01990872850655	147	pass	pass	fail	pass	fail	warn	warn	warn	warn	warn	pass
SEQ_RiboZero_HCC1395_2_R1	SEQ_RiboZero_HCC1395_2_R1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	65332001.0	9.1 Gbp	0.0	31-150	45.0	50.71169668262014	138.68542558492888	147	pass	pass	pass	pass	fail	warn	pass	warn	warn	warn	pass
SEQ_RiboZero_HCC1395_2_R2	SEQ_RiboZero_HCC1395_2_R2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	65332001.0	9.1 Gbp	0.0	31-150	46.0	59.01034213533235	138.68542558492888	147	pass	pass	fail	pass	fail	warn	warn	warn	warn	warn	pass
SEQ_RiboZero_HCC1395_3_R1	SEQ_RiboZero_HCC1395_3_R1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	60018498.0	8.3 Gbp	0.0	31-150	46.0	50.48450532687022	138.93537807294013	147	pass	pass	pass	pass	fail	warn	pass	warn	warn	warn	pass
SEQ_RiboZero_HCC1395_3_R2	SEQ_RiboZero_HCC1395_3_R2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	60018498.0	8.3 Gbp	0.0	31-150	46.0	58.37707171159422	138.93537807294013	147	pass	pass	fail	pass	fail	warn	warn	warn	warn	warn	pass
SEQ_RiboZero_HCC1395_4_R1	SEQ_RiboZero_HCC1395_4_R1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	71541794.0	9.9 Gbp	0.0	31-150	45.0	49.34041719363431	139.11206649360793	147	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
SEQ_RiboZero_HCC1395_4_R2	SEQ_RiboZero_HCC1395_4_R2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	71541794.0	9.9 Gbp	0.0	31-150	45.0	57.41917468127055	139.11206649360793	147	pass	pass	warn	pass	fail	fail	warn	warn	warn	warn	pass
SEQ_RiboZero_HCC1395_5_R1	SEQ_RiboZero_HCC1395_5_R1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	62828763.0	8.7 Gbp	0.0	31-150	46.0	50.25671470600067	138.76634050554202	147	pass	pass	warn	pass	fail	warn	pass	warn	warn	warn	pass
SEQ_RiboZero_HCC1395_5_R2	SEQ_RiboZero_HCC1395_5_R2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	62828763.0	8.7 Gbp	0.0	31-150	46.0	58.792910172113324	138.76634050554202	147	pass	pass	warn	pass	fail	warn	warn	warn	warn	warn	pass
SEQ_RiboZero_HCC1395_6_R1	SEQ_RiboZero_HCC1395_6_R1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	64493859.0	8.9 Gbp	0.0	31-150	45.0	50.231316505433774	137.8196464720773	147	pass	pass	pass	pass	fail	warn	pass	warn	warn	warn	pass
SEQ_RiboZero_HCC1395_6_R2	SEQ_RiboZero_HCC1395_6_R2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	64493859.0	8.9 Gbp	0.0	31-150	46.0	59.338567977361556	137.8196464720773	147	pass	pass	fail	pass	fail	warn	warn	warn	warn	warn	pass
