Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
MGI_PolyA_HCC1395BL_3_1_R2	50.855627809235415	47.0	149.9292538686115	150	10.0	39119397.0
MGI_PolyA_HCC1395BL_3_2_R1	50.5051283679214	47.0	149.92920902791872	150	10.0	39025739.0
MGI_PolyA_HCC1395BL_3_2_R2	51.11908844298314	47.0	149.92920902791872	150	10.0	39025739.0
MGI_PolyA_HCC1395BL_3_3_R1	50.30382310795121	47.0	149.93077108765806	150	10.0	38248427.0
MGI_PolyA_HCC1395BL_3_3_R2	50.62616188597222	47.0	149.93077108765806	150	10.0	38248427.0
MGI_PolyA_HCC1395BL_3_R1	45.77426565095617	46.0	149.93177273348687	150	10.0	22653597.0
MGI_PolyA_HCC1395BL_3_R2	46.342760496696634	46.0	149.93177273348687	150	10.0	22653597.0
MGI_PolyA_HCC1395_0313_1_R1	45.30379699976639	48.0	149.9250460116546	150	0.0	40053439.0
MGI_PolyA_HCC1395_0313_1_R2	43.3804694646993	48.0	149.9250460116546	150	0.0	40053439.0
MGI_PolyA_HCC1395_0313_2_R1	45.40513238138721	48.0	149.92311782331544	150	0.0	39967794.0
MGI_PolyA_HCC1395_0313_2_R2	43.75044935460107	48.0	149.92311782331544	150	0.0	39967794.0
MGI_PolyA_HCC1395_0313_3_R1	46.51104997114015	48.0	149.9264391225809	150	0.0	40021695.0
MGI_PolyA_HCC1395_0313_3_R2	44.75212881693833	48.0	149.9264391225809	150	0.0	40021695.0
MGI_PolyA_HCC1395_1_1_R1	51.813540078303014	48.0	149.92791728727806	150	10.0	39113983.0
MGI_PolyA_HCC1395_1_1_R2	52.34146055600465	48.0	149.92791728727806	150	10.0	39113983.0
MGI_PolyA_HCC1395_1_2_R1	51.325415695946894	48.0	149.92528580177637	150	10.0	39228675.0
MGI_PolyA_HCC1395_1_2_R2	51.86357671260804	48.0	149.92528580177637	150	10.0	39228675.0
MGI_PolyA_HCC1395_1_3_R1	51.35650576081142	48.0	149.92634562629962	150	10.0	39120501.0
MGI_PolyA_HCC1395_1_3_R2	51.868216538587724	48.0	149.92634562629962	150	10.0	39120501.0
MGI_PolyA_HCC1395_1_R1	46.43293658842567	46.0	149.92897545380617	150	10.0	22643918.0
MGI_PolyA_HCC1395_1_R2	46.813365273292895	46.0	149.92897545380617	150	0.0	22643918.0
MGI_PolyA_HCC1395_2_1_R1	50.99260915916321	47.0	149.92906326153894	150	10.0	39217873.0
MGI_PolyA_HCC1395_2_1_R2	51.56037984132958	47.0	149.92906326153894	150	10.0	39217873.0
MGI_PolyA_HCC1395_2_2_R1	50.877836188439076	47.0	149.92750650123784	150	10.0	38003532.0
MGI_PolyA_HCC1395_2_2_R2	51.22606286358921	48.0	149.92750650123784	150	10.0	38003532.0
MGI_PolyA_HCC1395_2_3_R1	51.05895178056728	48.0	149.92681566168704	150	10.0	39279702.0
MGI_PolyA_HCC1395_2_3_R2	51.81799840815216	48.0	149.92681566168704	150	10.0	39279702.0
MGI_PolyA_HCC1395_2_R1	46.47354247133997	46.0	149.93114061157036	150	10.0	22525977.0
MGI_PolyA_HCC1395_2_R2	46.575274974566675	46.0	149.93114061157036	150	10.0	22525977.0
MGI_PolyA_HCC1395_3_1_R1	50.91909465386096	48.0	149.9257737187019	150	10.0	37851418.0
MGI_PolyA_HCC1395_3_1_R2	51.473434279688085	48.0	149.9257737187019	150	10.0	37851418.0
MGI_PolyA_HCC1395_3_2_R1	49.27133040832504	48.0	149.9220082652804	150	0.0	32882369.0
MGI_PolyA_HCC1395_3_2_R2	49.743000743916056	48.0	149.9220082652804	150	0.0	32882369.0
MGI_PolyA_HCC1395_3_3_R1	51.44683367570572	47.0	149.92629353019643	150	10.0	39139210.0
MGI_PolyA_HCC1395_3_3_R2	51.89901832915723	47.0	149.92629353019643	150	10.0	39139210.0
MGI_PolyA_HCC1395_3_R1	46.281916731976935	46.0	149.92704004611087	150	10.0	22561267.0
MGI_PolyA_HCC1395_3_R2	47.02724171850503	46.0	149.92704004611087	150	0.0	22561267.0
MGI_RiboZero_HCC1395BL_1_R1	40.7132195587264	47.0	149.89400471062328	150	10.0	38143997.0
MGI_RiboZero_HCC1395BL_1_R2	44.361924474703486	48.0	149.89400471062328	150	0.0	38143997.0
MGI_RiboZero_HCC1395BL_2_R1	29.240835036677495	46.0	149.89533301231018	150	10.0	38057482.0
MGI_RiboZero_HCC1395BL_2_R2	32.73756244260072	47.0	149.89533301231018	150	0.0	38057482.0
