Sample	total_alignments	reads_aligned_exonic	reads_aligned	non_unique_alignments	reads_aligned_overlapping_exon	bam_file	ambiguous_alignments	reads_aligned_intergenic	reads_aligned_intronic	not_aligned	5_3_bias	reads_aligned_genes
MGI_PolyA_HCC1395BL_2	42593916.0	31926780.0	20429325.0	2624968.0	2069155.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/MGI_PolyA_HCC1395BL_2.Aligned.sortedByCoord.out.bam	1286448.0	991952.0	5752566.0	4433856.0	1.29	31926780.0
MGI_PolyA_HCC1395BL_2_1	74438424.0	54980338.0	35626035.0	4812086.0	4227004.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/MGI_PolyA_HCC1395BL_2_1.Aligned.sortedByCoord.out.bam	2195354.0	1692988.0	10739824.0	6894042.0	1.2	54980338.0
MGI_PolyA_HCC1395BL_2_2	74702100.0	55357302.0	35758101.0	4815278.0	4223498.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/MGI_PolyA_HCC1395BL_2_2.Aligned.sortedByCoord.out.bam	2224768.0	1725090.0	10562024.0	6962832.0	1.21	55357302.0
MGI_PolyA_HCC1395BL_2_3	74833098.0	55194736.0	35818257.0	4826608.0	4266297.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/MGI_PolyA_HCC1395BL_2_3.Aligned.sortedByCoord.out.bam	2226822.0	1655308.0	10911576.0	6706276.0	1.18	55194736.0
MGI_PolyA_HCC1395BL_3	42640850.0	31878148.0	20448283.0	2638912.0	2058050.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/MGI_PolyA_HCC1395BL_3.Aligned.sortedByCoord.out.bam	1284022.0	1018790.0	5809264.0	4410628.0	1.29	31878148.0
MGI_PolyA_HCC1395BL_3_1	74114178.0	54303348.0	35438611.0	4860474.0	4141807.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/MGI_PolyA_HCC1395BL_3_1.Aligned.sortedByCoord.out.bam	2163644.0	1732850.0	11035776.0	7361572.0	1.19	54303348.0
MGI_PolyA_HCC1395BL_3_2	74040420.0	54482054.0	35444118.0	4752278.0	4164172.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/MGI_PolyA_HCC1395BL_3_2.Aligned.sortedByCoord.out.bam	2150868.0	1721214.0	10915646.0	7163242.0	1.2	54482054.0
MGI_PolyA_HCC1395BL_3_3	72816322.0	53302838.0	34816782.0	4756912.0	4078495.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/MGI_PolyA_HCC1395BL_3_3.Aligned.sortedByCoord.out.bam	2119398.0	1753646.0	10865668.0	6863290.0	1.2	53302838.0
MGI_PolyA_HCC1395_1	42078106.0	32805674.0	20327756.0	2215456.0	2024554.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/MGI_PolyA_HCC1395_1.Aligned.sortedByCoord.out.bam	1547668.0	759012.0	4745150.0	4632324.0	1.27	32805674.0
MGI_PolyA_HCC1395_1_1	73276470.0	56145670.0	35277694.0	4175140.0	4142257.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/MGI_PolyA_HCC1395_1_1.Aligned.sortedByCoord.out.bam	2663158.0	1188058.0	9096490.0	7672578.0	1.17	56145670.0
MGI_PolyA_HCC1395_1_2	73590556.0	56502052.0	35497792.0	4004950.0	4210963.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/MGI_PolyA_HCC1395_1_2.Aligned.sortedByCoord.out.bam	2657522.0	1155350.0	9262454.0	7461766.0	1.16	56502052.0
MGI_PolyA_HCC1395_1_3	73377148.0	56379826.0	35388699.0	4020066.0	4199274.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/MGI_PolyA_HCC1395_1_3.Aligned.sortedByCoord.out.bam	2674044.0	1210456.0	9084970.0	7463604.0	1.18	56379826.0
MGI_PolyA_HCC1395_2	41871362.0	32528510.0	20210516.0	2246154.0	1974750.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/MGI_PolyA_HCC1395_2.Aligned.sortedByCoord.out.bam	1501830.0	732960.0	4856826.0	4630922.0	1.24	32528510.0
MGI_PolyA_HCC1395_2_1	73748166.0	56184730.0	35430058.0	4356122.0	4112069.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/MGI_PolyA_HCC1395_2_1.Aligned.sortedByCoord.out.bam	2661432.0	1220488.0	9317068.0	7575630.0	1.16	56184730.0
MGI_PolyA_HCC1395_2_2	71236032.0	54587588.0	34322558.0	3999204.0	4013131.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/MGI_PolyA_HCC1395_2_2.Aligned.sortedByCoord.out.bam	2583588.0	1171802.0	8885906.0	7361948.0	1.17	54587588.0
