Sample	sequenced_bases	general_error_rate	mapped_bases	mapped_reads	total_reads	bam_file	median_insert_size	mean_coverage	mean_insert_size	mean_mapping_quality
MGI_PolyA_HCC1395BL_1_2	10330105194.0	0.0002	115256934315.0	69184622.0	76043984.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/MGI_PolyA_HCC1395BL_1_2.Aligned.sortedByCoord.out.bam	513.0	37.1826	3922.7413	20.2867
MGI_PolyA_HCC1395BL_1_3	10590460124.0	0.0002	116804658730.0	70921484.0	78209568.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/MGI_PolyA_HCC1395BL_1_3.Aligned.sortedByCoord.out.bam	504.0	37.682	3908.0597	22.6331
MGI_PolyA_HCC1395BL_2	6105799390.0	0.0002	64131859592.0	40858650.0	45292506.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/MGI_PolyA_HCC1395BL_2.Aligned.sortedByCoord.out.bam	465.0	20.6894	3663.9656	23.981
MGI_PolyA_HCC1395BL_2_1	10641149251.0	0.0002	118425142584.0	71252070.0	78146112.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/MGI_PolyA_HCC1395BL_2_1.Aligned.sortedByCoord.out.bam	500.0	38.2047	3869.0987	19.9591
MGI_PolyA_HCC1395BL_2_2	10680739615.0	0.0002	119031124666.0	71516202.0	78479034.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/MGI_PolyA_HCC1395BL_2_2.Aligned.sortedByCoord.out.bam	496.0	38.4002	3825.2638	22.9584
MGI_PolyA_HCC1395BL_2_3	10695778891.0	0.0002	119280904888.0	71636514.0	78342790.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/MGI_PolyA_HCC1395BL_2_3.Aligned.sortedByCoord.out.bam	495.0	38.4808	3837.7722	22.2647
MGI_PolyA_HCC1395BL_3	6110856336.0	0.0002	63432892046.0	40896566.0	45307194.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/MGI_PolyA_HCC1395BL_3.Aligned.sortedByCoord.out.bam	454.0	20.4639	3580.7646	23.1461
MGI_PolyA_HCC1395BL_3_1	10582665103.0	0.0002	116697424606.0	70877222.0	78238794.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/MGI_PolyA_HCC1395BL_3_1.Aligned.sortedByCoord.out.bam	501.0	37.6474	3901.4439	22.1534
MGI_PolyA_HCC1395BL_3_2	10585947673.0	0.0002	116822024539.0	70888236.0	78051478.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/MGI_PolyA_HCC1395BL_3_2.Aligned.sortedByCoord.out.bam	502.0	37.6876	3918.2781	21.5725
MGI_PolyA_HCC1395BL_3_3	10399371527.0	0.0002	114385591961.0	69633564.0	76496854.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/MGI_PolyA_HCC1395BL_3_3.Aligned.sortedByCoord.out.bam	498.0	36.9015	3901.8602	23.0264
MGI_PolyA_HCC1395_0313_1	11850688939.0	0.0004	130746716035.0	79440958.0	80106878.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/MGI_PolyA_HCC1395_0313_1.Aligned.sortedByCoord.out.bam	446.0	42.1798	3341.8202	22.1282
MGI_PolyA_HCC1395_0313_2	11827446582.0	0.0004	129353562007.0	79281724.0	79935588.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/MGI_PolyA_HCC1395_0313_2.Aligned.sortedByCoord.out.bam	444.0	41.7303	3327.0484	22.1968
MGI_PolyA_HCC1395_0313_3	11850493778.0	0.0004	130087782477.0	79433246.0	80043390.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/MGI_PolyA_HCC1395_0313_3.Aligned.sortedByCoord.out.bam	455.0	41.9672	3359.067	21.9843
MGI_PolyA_HCC1395_1	6076885611.0	0.0002	61587806929.0	40655512.0	45287836.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/MGI_PolyA_HCC1395_1.Aligned.sortedByCoord.out.bam	456.0	19.8686	3361.4659	25.4524
MGI_PolyA_HCC1395_1_1	10540746222.0	0.0002	113841785382.0	70555388.0	78227966.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/MGI_PolyA_HCC1395_1_1.Aligned.sortedByCoord.out.bam	510.0	36.7261	3589.5476	23.5841
MGI_PolyA_HCC1395_1_2	10605265689.0	0.0002	115114361084.0	70995584.0	78457350.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/MGI_PolyA_HCC1395_1_2.Aligned.sortedByCoord.out.bam	526.0	37.1367	3673.0685	22.5813
