Sample	QualiMap_mqc-generalstats-qualimap-mean_coverage	QualiMap_mqc-generalstats-qualimap-general_error_rate	QualiMap_mqc-generalstats-qualimap-mapped_reads	QualiMap_mqc-generalstats-qualimap-5_x_pc	QualiMap_mqc-generalstats-qualimap-30_x_pc	QualiMap_mqc-generalstats-qualimap-1_x_pc	QualiMap_mqc-generalstats-qualimap-median_coverage	QualiMap_mqc-generalstats-qualimap-50_x_pc	QualiMap_mqc-generalstats-qualimap-median_insert_size	QualiMap_mqc-generalstats-qualimap-10_x_pc	QualiMap_mqc-generalstats-qualimap-total_reads	QualiMap_mqc-generalstats-qualimap-avg_gc
ARG_PolyA_HCC1395BL_1	46.8082	0.02	79247966.0								79979530.0	
ARG_PolyA_HCC1395BL_1_bamqc				3.6159810964515113	1.192315394440696	10.364326980696259	0	0.8831563080550918	306	2.2912337301053896		50.36912269059608
ARG_PolyA_HCC1395BL_2	45.1283	0.02	78192806.0								78796856.0	
ARG_PolyA_HCC1395BL_2_bamqc				3.3991359172257156	1.1158613110126876	10.038954074370828	0	0.8194441202158631	306	2.157455327348036		49.21413679719847
ARG_PolyA_HCC1395BL_3	44.8855	0.02	78200472.0								78887120.0	
ARG_PolyA_HCC1395BL_3_bamqc				3.6255266704966047	1.1990158364728218	10.514917993479758	0	0.8892140209837351	313	2.299606209817805		50.07953782453481
ARG_PolyA_HCC1395_1	48.3972	0.02	82031044.0								82339870.0	
ARG_PolyA_HCC1395_1_bamqc				3.3015574254316538	1.1951722693334335	8.918662374836813	0	0.9008600542567888	321	2.1806938734613435		51.156849969761524
ARG_PolyA_HCC1395_2	45.8939	0.02	79251932.0								79562568.0	
ARG_PolyA_HCC1395_2_bamqc				3.292672065767064	1.1891035877808287	9.041065378987033	0	0.8957458365527831	329	2.170907538120296		51.1051078762639
ARG_PolyA_HCC1395_3	44.5072	0.02	77025010.0								77304932.0	
ARG_PolyA_HCC1395_3_bamqc				3.2123243789180083	1.1634591062622346	8.777566254603574	0	0.8754280091758011	329	2.1225039683981453		51.05543389112182
BMK_RiboZero_HCC1395BL_1	46.0903	0.03	127156425.0								133391350.0	
BMK_RiboZero_HCC1395BL_1_bamqc				16.040641626847105	3.481832502635459	27.84296359666171	0	1.8382297863218044	405	10.471585508960917		44.88928529686138
BMK_RiboZero_HCC1395BL_2	42.9727	0.03	116317001.0								121664604.0	
BMK_RiboZero_HCC1395BL_2_bamqc				15.215607089344015	3.0321442125721285	27.469249770813345	0	1.6020188562788809	413	9.610747318165473		45.49697370481135
BMK_RiboZero_HCC1395BL_3	45.7288	0.03	132654302.0								138945038.0	
BMK_RiboZero_HCC1395BL_3_bamqc				15.977041318972283	3.854449917736901	24.503428149540635	0	2.0254134513277333	362	10.834011298065937		44.369720639157315
BMK_RiboZero_HCC1395_1	48.7489	0.03	123130342.0								129723336.0	
BMK_RiboZero_HCC1395_1_bamqc				14.354035936382676	2.8134229147390424	26.094579777108386	0	1.5622069129237637	427	8.84882575902673		46.05697400800625
BMK_RiboZero_HCC1395_2	48.2212	0.03	118545199.0								124798930.0	
