Compare,Gene,FC_mean,P_mean,Suppoorted_Tools,DEG. Type,uchar,homoge,ubb_1_logFC,uwb_1_logFC,uhom_logFC,long_stability,ulst,kd_stability,uskd,dw4_stability,usw4,dw24_stability,usw25,dwCO2_stability,usco2
HCC1395/HCC1395BL,ENSG00000000419,1.316234873,1.07E-198,3,non-DEG,0.014990662,FALSE,0.003221008,0.003703439,0.004933451,FALSE,0.122164796,FALSE,0.017214203,FALSE,0.001444375,FALSE,4.86E-05,TRUE,0.000778665
HCC1395/HCC1395BL,ENSG00000000457,0.922376764,4.82E-150,3,non-DEG,0.027378095,FALSE,0.006519306,0.00268141,0.007055603,FALSE,0.142076015,FALSE,0.015017712,FALSE,0.002853294,TRUE,0.00015955,FALSE,0.001732362
HCC1395/HCC1395BL,ENSG00000000460,0.650494953,1.36E-291,3,non-DEG,0.008919605,FALSE,0.006909216,0.006574508,0.010113881,FALSE,0.074600167,FALSE,0.007867675,FALSE,0.005525278,TRUE,3.65E-05,FALSE,0.002679542
HCC1395/HCC1395BL,ENSG00000000938,0.001058108,0,3,down-regulate,0.03362539,FALSE,0.003118388,0.011266213,0.013213258,TRUE,0.108746013,FALSE,0.043817604,FALSE,0.023490074,FALSE,0.001805644,FALSE,0.020486449
HCC1395/HCC1395BL,ENSG00000001036,1.755465427,0,3,non-DEG,0.015499814,FALSE,0.011091037,0.003822588,0.011766139,FALSE,0.053627894,FALSE,0.007320418,TRUE,0.000762022,FALSE,0.00030188,FALSE,0.002645747
HCC1395/HCC1395BL,ENSG00000001084,6.774789335,0,3,up-regulate,0.00611472,FALSE,4217.676234,17.97086692,4217.714876,FALSE,0.076315944,FALSE,0.005347413,FALSE,0.000963157,FALSE,0.000444582,TRUE,0.00139661
HCC1395/HCC1395BL,ENSG00000001460,46.44398594,0,3,up-regulate,0.04768747,FALSE,4359.27022,18.48930431,4359.371111,FALSE,0.489262569,FALSE,0.040592691,FALSE,0.104683583,FALSE,8.08E-05,FALSE,0.014982103
HCC1395/HCC1395BL,ENSG00000001461,9.289315322,0,3,up-regulate,0.014969145,FALSE,0.016409812,0.005512594,0.017327001,FALSE,0.056644853,FALSE,0.00900683,FALSE,0.006447653,FALSE,0.000509962,FALSE,0.004366136
HCC1395/HCC1395BL,ENSG00000001497,0.606066831,0,3,non-DEG,0.005052172,FALSE,0.007053375,0.003261913,0.008162501,FALSE,0.016257205,FALSE,0.020219807,TRUE,0.001079212,FALSE,8.66E-05,TRUE,0.000878715
HCC1395/HCC1395BL,ENSG00000001561,1.066165763,5.55E-27,3,non-DEG,0.012079659,FALSE,0.004254705,0.005823343,0.007233045,FALSE,0.076180888,FALSE,0.043471059,FALSE,0.007960705,FALSE,0.000650742,FALSE,0.004509693
